id,N,P,K,temperature,humidity,ph,rainfall,crop,crop_code,depto_code,id_depto,departamento_colombia,zona_vida,temperature_min,temperature_max,rainfall_min,rainfall_max,Longitud,Latitud
1,90,42,43,2.087.974.371,8.200.274.423,6.502.985.292.000.000,2.029.355.362,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
2,85,58,41,2.177.046.169,8.031.964.408,7.038.096.361,2.266.555.374,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
3,60,55,44,2.300.445.915,823.207.629,7.840.207.144,2.639.642.476,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
4,74,35,40,2.649.109.635,8.015.836.264,6.980.400.905,2.428.640.342,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
5,78,42,42,2.013.017.482,8.160.487.287,7.628.472.891,2.627.173.405,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
6,69,37,42,2.305.804.872,8.337.011.772,7.073.453.503,2.510.549.998,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
7,69,55,38,2.270.883.798,8.263.941.394,570.080.568,2.713.248.604,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
8,94,53,40,2.027.774.362,8.289.408.619,5.718.627.177.999.990,2.419.741.949,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
9,89,54,38,2.451.588.066,8.353.521.629.999.990,6.685.346.424,2.304.462.359,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
10,68,58,38,2.322.397.386,8.303.322.691,6.336.253.525,2.212.091.958,rice,1,1,1,Casanare,Bosque Humedo-Tropical,20.0,33.0,1000.0,2500.0,"-71,60188121","5,404063946"
